"symbol","date","open","high","low","close","close_adjusted","volume","split_coefficient"
"ASML","2019-08-08","216.9000","220.5500","216.7000","220.0300","220.0300","571061","1.0000"
"ASML","2019-08-07","213.5700","216.2400","212.4000","215.7000","215.7000","424900","1.0000"
"ASML","2019-08-06","215.5800","216.5400","212.5500","214.8900","214.8900","481400","1.0000"
"ASML","2019-08-05","216.3800","216.4200","210.3000","212.1300","212.1300","693900","1.0000"
"ASML","2019-08-02","222.5400","222.5400","218.1900","219.9100","219.9100","555700","1.0000"
"ASML","2019-08-01","225.9800","229.9700","219.1800","221.4400","221.4400","834200","1.0000"
"ASML","2019-07-31","227.0600","227.3600","221.2100","222.8100","222.8100","519500","1.0000"
"ASML","2019-07-30","227.6600","229.4100","227.3300","228.3400","228.3400","462000","1.0000"
"ASML","2019-07-29","230.6100","231.2600","229.3900","230.9700","230.9700","325900","1.0000"
"ASML","2019-07-26","232.2200","232.4100","230.8300","230.8500","230.8500","399700","1.0000"
"ASML","2019-07-25","232.7600","232.9700","229.7200","230.0500","230.0500","521489","1.0000"
"ASML","2019-07-24","230.1900","234.5000","230.0100","234.0600","234.0600","786822","1.0000"
"ASML","2019-07-23","230.8700","231.3300","229.3200","230.2100","230.2100","831074","1.0000"
"ASML","2019-07-22","225.2900","228.1191","225.2900","227.7400","227.7400","787505","1.0000"
"ASML","2019-07-19","223.1900","224.9250","223.1100","223.6200","223.6200","790548","1.0000"
"ASML","2019-07-18","221.6900","226.9900","221.5700","226.6500","226.6500","1753504","1.0000"
"ASML","2019-07-17","217.6500","219.5800","215.2100","217.6700","217.6700","2050484","1.0000"
"ASML","2019-07-16","205.4000","206.9295","204.3600","205.0000","205.0000","639158","1.0000"
"ASML","2019-07-15","208.3200","209.1900","206.0500","206.7600","206.7600","681252","1.0000"
"ASML","2019-07-12","208.0400","209.0600","207.3800","208.1800","208.1800","427371","1.0000"
"ASML","2019-07-11","209.6100","209.7500","207.3000","208.7400","208.7400","269588","1.0000"
"ASML","2019-07-10","207.5000","209.3100","206.9700","208.1200","208.1200","986486","1.0000"
"ASML","2019-07-09","205.8900","207.3050","205.3000","206.6100","206.6100","529993","1.0000"
"ASML","2019-07-08","208.5700","209.5100","206.8200","208.0300","208.0300","425423","1.0000"
"ASML","2019-07-05","209.5300","210.3800","207.1900","209.7500","209.7500","428588","1.0000"
"ASML","2019-07-03","213.8300","214.7900","213.3901","213.8300","213.8300","297097","1.0000"
"ASML","2019-07-02","214.5200","215.2700","213.3600","214.4200","214.4200","572416","1.0000"
"ASML","2019-07-01","215.9700","216.5900","212.9700","214.9700","214.9700","634495","1.0000"
"ASML","2019-06-28","209.2700","209.7650","207.6200","207.9300","207.9300","404955","1.0000"
"ASML","2019-06-27","204.6900","205.5300","204.0850","204.9900","204.9900","345095","1.0000"
"ASML","2019-06-26","204.3900","204.9700","203.0800","204.3900","204.3900","784528","1.0000"
"ASML","2019-06-25","202.8000","203.0900","198.1200","199.0400","199.0400","535428","1.0000"
"ASML","2019-06-24","203.3900","203.8600","201.8802","202.8000","202.8000","476826","1.0000"
"ASML","2019-06-21","201.3000","202.8000","200.4100","202.2700","202.2700","562895","1.0000"
"ASML","2019-06-20","203.1100","203.6100","200.4900","201.6600","201.6600","431123","1.0000"
"ASML","2019-06-19","196.4700","198.2200","195.3200","196.8200","196.8200","358152","1.0000"
"ASML","2019-06-18","189.4900","195.8000","189.4900","194.7200","194.7200","1358913","1.0000"
"ASML","2019-06-17","192.0000","192.4300","189.5400","189.6400","189.6400","476368","1.0000"
"ASML","2019-06-14","191.5500","193.1350","190.5000","192.0200","192.0200","482308","1.0000"
"ASML","2019-06-13","197.7600","198.1400","197.0100","197.9300","197.9300","268328","1.0000"
"ASML","2019-06-12","199.5500","199.5500","196.7300","196.8200","196.8200","464528","1.0000"
"ASML","2019-06-11","202.3600","202.6600","199.0600","200.1000","200.1000","520439","1.0000"
"ASML","2019-06-10","196.2700","199.4300","196.1625","198.2600","198.2600","755913","1.0000"
"ASML","2019-06-07","195.6300","198.4644","194.9600","196.6200","196.6200","482324","1.0000"
"ASML","2019-06-06","190.6700","193.1000","190.2200","192.7600","192.7600","399308","1.0000"
"ASML","2019-06-05","191.8300","192.2100","188.8100","189.4000","189.4000","356430","1.0000"
"ASML","2019-06-04","188.9700","190.5600","188.1100","190.4600","190.4600","922573","1.0000"
"ASML","2019-06-03","188.5800","189.8500","186.3100","186.9800","186.9800","527304","1.0000"
"ASML","2019-05-31","188.6200","189.8900","187.6800","188.0500","188.0500","777434","1.0000"
"ASML","2019-05-30","189.1500","191.2500","188.8100","189.8900","189.8900","465508","1.0000"
"ASML","2019-05-29","188.5600","190.0800","186.9000","188.5600","188.5600","1154124","1.0000"
"ASML","2019-05-28","192.6200","193.3800","190.8900","190.9900","190.9900","665657","1.0000"
"ASML","2019-05-24","191.9700","192.6600","189.6700","189.8000","189.8000","432246","1.0000"
"ASML","2019-05-23","189.5700","191.4600","188.8000","190.6200","190.6200","835458","1.0000"
"ASML","2019-05-22","191.4800","193.8400","191.4800","191.5300","191.5300","505261","1.0000"
"ASML","2019-05-21","194.5000","195.1600","193.0800","193.7500","193.7500","736648","1.0000"
"ASML","2019-05-20","193.8700","195.2700","188.8700","190.4800","190.4800","1283258","1.0000"
"ASML","2019-05-17","201.8600","204.4600","200.7500","201.2000","201.2000","700321","1.0000"
"ASML","2019-05-16","200.5400","203.6700","200.0600","202.1400","202.1400","708613","1.0000"
"ASML","2019-05-15","195.1400","202.1000","194.9600","200.6300","200.6300","711293","1.0000"
"ASML","2019-05-14","195.3400","198.9700","194.7300","198.0400","198.0400","1036743","1.0000"
"ASML","2019-05-13","193.4000","193.9800","189.9200","190.4400","190.4400","993982","1.0000"
"ASML","2019-05-10","198.1100","200.0000","195.4300","198.7400","198.7400","780170","1.0000"
"ASML","2019-05-09","198.3800","199.9400","194.7400","198.9900","198.9900","687995","1.0000"
"ASML","2019-05-08","201.6900","203.5700","200.9000","201.4300","201.4300","573425","1.0000"
"ASML","2019-05-07","203.0000","203.0000","198.4100","200.6900","200.6900","623128","1.0000"
"ASML","2019-05-06","202.2400","205.5400","201.0500","205.1700","205.1700","413270","1.0000"
"ASML","2019-05-03","206.7700","208.6900","206.2200","208.6800","208.6800","345215","1.0000"
"ASML","2019-05-02","206.5400","207.4800","204.0900","205.9300","205.9300","405461","1.0000"
"ASML","2019-05-01","209.9200","210.8700","206.3700","206.3900","206.3900","391204","1.0000"
"ASML","2019-04-30","206.6400","209.0100","206.2900","208.8200","208.8200","337454","1.0000"
"ASML","2019-04-29","205.9100","207.2600","205.0600","206.4100","206.4100","365821","1.0000"
"ASML","2019-04-26","204.8700","207.2600","203.1800","207.2000","207.2000","637927","1.0000"
"ASML","2019-04-25","206.8600","207.3100","204.0200","206.2100","204.2463","756667","1.0000"
"ASML","2019-04-24","205.5600","207.8100","205.2000","205.4100","205.4100","485479","1.0000"
"ASML","2019-04-23","204.1100","206.1125","204.0250","205.2900","205.2900","438342","1.0000"
"ASML","2019-04-22","204.6200","205.8700","203.7300","205.5100","205.5100","357497","1.0000"
"ASML","2019-04-18","206.0500","207.0300","204.5800","205.9100","205.9100","1008139","1.0000"
"ASML","2019-04-17","208.3800","208.9000","200.5800","203.3600","203.3600","1280514","1.0000"
"ASML","2019-04-16","201.3800","204.4600","201.0800","203.6200","203.6200","755311","1.0000"
"ASML","2019-04-15","201.2800","201.7300","199.0100","199.8400","199.8400","389440","1.0000"
"ASML","2019-04-12","201.8300","202.8800","200.6700","202.8200","202.8200","430987","1.0000"
"ASML","2019-04-11","197.7200","199.2500","197.2900","197.9100","197.9100","453259","1.0000"
"ASML","2019-04-10","200.0900","200.7200","198.5900","199.7900","199.7900","611600","1.0000"
"ASML","2019-04-09","202.1000","203.0100","201.0650","201.5700","201.5700","708322","1.0000"
"ASML","2019-04-08","202.0000","203.6800","201.6300","203.5600","203.5600","503646","1.0000"
"ASML","2019-04-05","200.5700","201.7200","200.5000","201.3900","201.3900","503297","1.0000"
"ASML","2019-04-04","198.2500","199.0200","197.4300","198.3800","198.3800","437451","1.0000"
"ASML","2019-04-03","197.1600","198.6850","196.5800","197.7400","197.7400","691712","1.0000"
"ASML","2019-04-02","193.9800","194.1800","192.3600","193.8400","193.8400","498289","1.0000"
"ASML","2019-04-01","191.2400","193.0000","190.7600","192.4800","192.4800","647605","1.0000"
"ASML","2019-03-29","186.2800","188.4200","185.5000","188.0500","188.0500","687412","1.0000"
"ASML","2019-03-28","183.6000","184.9700","182.7700","184.2000","184.2000","312074","1.0000"
"ASML","2019-03-27","187.1300","187.9600","183.1034","184.0600","184.0600","786734","1.0000"
"ASML","2019-03-26","186.1900","187.9500","186.0700","187.2900","187.2900","414810","1.0000"
"ASML","2019-03-25","186.3300","187.9400","185.1801","186.3300","186.3300","1028652","1.0000"
"ASML","2019-03-22","191.3600","191.8900","187.4451","187.7500","187.7500","937018","1.0000"
"ASML","2019-03-21","189.9500","195.4550","189.9400","194.3600","194.3600","770192","1.0000"
"ASML","2019-03-20","190.4900","192.6900","188.3900","191.1400","191.1400","584146","1.0000"
"ASML","2019-03-19","191.5900","192.5500","189.3900","190.8100","190.8100","683603","1.0000"
"ASML","2019-03-18","190.5300","191.4300","189.3800","190.6400","190.6400","589531","1.0000"
"ASML","2019-03-15","187.6400","192.9600","187.6100","192.8100","192.8100","1445135","1.0000"
"ASML","2019-03-14","183.2500","184.2800","182.7332","183.2900","183.2900","524086","1.0000"
"ASML","2019-03-13","183.7500","183.9900","182.3900","182.5300","182.5300","418495","1.0000"
"ASML","2019-03-12","182.0000","183.5300","180.8100","182.5100","182.5100","509045","1.0000"
"ASML","2019-03-11","178.3400","182.1000","178.3100","181.0900","181.0900","609942","1.0000"
"ASML","2019-03-08","175.9600","178.9700","175.5700","178.8400","178.8400","415717","1.0000"
"ASML","2019-03-07","180.1300","180.1500","176.9300","177.5200","177.5200","648294","1.0000"
"ASML","2019-03-06","184.3000","184.3800","181.0400","181.1600","181.1600","499251","1.0000"
"ASML","2019-03-05","184.6500","185.7800","184.1500","184.5300","184.5300","258749","1.0000"
"ASML","2019-03-04","185.3600","186.7300","183.5600","185.6600","185.6600","558355","1.0000"
"ASML","2019-03-01","184.4100","185.2700","183.1648","185.1100","185.1100","389767","1.0000"
"ASML","2019-02-28","183.3200","183.8600","182.5730","182.8700","182.8700","318483","1.0000"
"ASML","2019-02-27","185.1300","185.1300","182.2700","184.1200","184.1200","387931","1.0000"
"ASML","2019-02-26","185.3100","186.4700","184.6900","185.3600","185.3600","660583","1.0000"
"ASML","2019-02-25","187.8000","188.2700","186.2900","186.9900","186.9900","737166","1.0000"
"ASML","2019-02-22","184.3100","185.1300","183.3100","184.8900","184.8900","495574","1.0000"
"ASML","2019-02-21","181.8100","183.2900","181.1400","182.5300","182.5300","712688","1.0000"
"ASML","2019-02-20","181.8700","184.2700","181.8100","183.8500","183.8500","600373","1.0000"
"ASML","2019-02-19","180.9400","183.6000","180.9300","182.4600","182.4600","900465","1.0000"
"ASML","2019-02-15","185.0900","185.1000","183.5000","184.3700","184.3700","824398","1.0000"
"ASML","2019-02-14","183.1800","184.8700","182.6600","184.3300","184.3300","1060061","1.0000"
"ASML","2019-02-13","182.6200","183.6000","182.0900","182.3100","182.3100","653833","1.0000"
"ASML","2019-02-12","180.3200","183.2600","180.3200","182.7900","182.7900","901604","1.0000"
"ASML","2019-02-11","179.4200","179.8900","178.0700","178.5200","178.5200","653367","1.0000"
"ASML","2019-02-08","178.1100","181.5700","177.8400","181.0700","181.0700","633096","1.0000"
"ASML","2019-02-07","183.5600","184.0100","180.3100","181.1000","181.1000","1474535","1.0000"
"ASML","2019-02-06","184.0500","187.0500","184.0200","186.8600","186.8600","1554920","1.0000"
"ASML","2019-02-05","179.8100","182.1300","179.5600","181.6100","181.6100","650771","1.0000"
"ASML","2019-02-04","178.4300","179.7200","177.8600","179.5600","179.5600","542958","1.0000"
"ASML","2019-02-01","176.7900","178.6300","176.1800","178.4100","178.4100","795046","1.0000"
"ASML","2019-01-31","174.7100","176.5100","174.2600","175.0300","175.0300","562088","1.0000"
"ASML","2019-01-30","175.1500","177.5900","173.7400","177.1900","177.1900","687639","1.0000"
"ASML","2019-01-29","174.4400","174.7800","172.3300","174.6100","174.6100","966787","1.0000"
"ASML","2019-01-28","171.7400","175.4300","171.2400","174.1500","174.1500","2261164","1.0000"
"ASML","2019-01-25","173.2100","176.8400","172.6300","176.6600","176.6600","1352946","1.0000"
"ASML","2019-01-24","167.5300","169.5400","167.2900","168.9000","168.9000","1385692","1.0000"
"ASML","2019-01-23","163.3300","164.0500","160.6600","162.1200","162.1200","1458921","1.0000"
"ASML","2019-01-22","160.9000","161.0000","157.9700","159.5000","159.5000","968554","1.0000"
"ASML","2019-01-18","159.1800","164.0100","158.8600","162.7000","162.7000","1664748","1.0000"
"ASML","2019-01-17","155.7800","158.6300","155.2200","157.5400","157.5400","952993","1.0000"
"ASML","2019-01-16","159.1700","159.3900","157.1900","157.2800","157.2800","537639","1.0000"
"ASML","2019-01-15","158.9200","160.8900","158.2800","159.2300","159.2300","482691","1.0000"
"ASML","2019-01-14","160.1000","160.3500","158.2600","158.6900","158.6900","680216","1.0000"
"ASML","2019-01-11","161.5000","163.3700","160.8700","162.0200","162.0200","639623","1.0000"
"ASML","2019-01-10","161.2900","163.0500","160.5100","162.6100","162.6100","1028088","1.0000"
"ASML","2019-01-09","161.9000","163.6250","160.9700","162.9200","162.9200","779913","1.0000"
"ASML","2019-01-08","158.5000","158.7700","155.5500","156.4300","156.4300","531710","1.0000"
"ASML","2019-01-07","156.5000","159.2600","155.8200","157.5900","157.5900","971903","1.0000"
"ASML","2019-01-04","150.6500","154.9600","150.0400","154.0700","154.0700","589459","1.0000"
"ASML","2019-01-03","151.1900","152.2200","147.3800","147.6800","147.6800","1078587","1.0000"
"ASML","2019-01-02","154.2800","157.2500","153.8400","156.3000","156.3000","602513","1.0000"
"ASML","2018-12-31","156.0400","157.0300","153.9500","155.6200","155.6200","356542","1.0000"
"ASML","2018-12-28","157.5400","157.6900","154.7600","155.0900","155.0900","676532","1.0000"
"ASML","2018-12-27","149.8400","154.4100","149.5700","154.3900","154.3900","725797","1.0000"
"ASML","2018-12-26","146.4900","153.0100","144.5000","152.9200","152.9200","634468","1.0000"
"ASML","2018-12-24","149.1400","150.4900","144.8100","145.0100","145.0100","321523","1.0000"
"ASML","2018-12-21","151.7700","152.5900","148.0000","148.4500","148.4500","1805729","1.0000"
"ASML","2018-12-20","156.2100","156.7600","151.6900","152.6800","152.6800","2719389","1.0000"
"ASML","2018-12-19","159.9500","162.9800","153.3400","153.8800","153.8800","1580700","1.0000"
"ASML","2018-12-18","163.1800","164.7300","161.7700","162.5800","162.5800","710212","1.0000"
"ASML","2018-12-17","161.0000","164.2000","159.6200","160.6000","160.6000","686481","1.0000"
"ASML","2018-12-14","162.4100","164.1800","160.8200","161.0300","161.0300","692515","1.0000"
"ASML","2018-12-13","165.0200","165.6100","163.7100","164.0900","164.0900","698173","1.0000"
"ASML","2018-12-12","166.3500","167.3400","164.7400","165.2200","165.2200","917723","1.0000"
"ASML","2018-12-11","163.8200","164.8500","160.4600","161.4700","161.4700","1475544","1.0000"
"ASML","2018-12-10","161.5200","163.0800","158.8100","161.4100","161.4100","915817","1.0000"
"ASML","2018-12-07","164.8500","165.9200","158.9000","159.5300","159.5300","1412183","1.0000"
"ASML","2018-12-06","164.5300","166.5000","162.2600","166.3500","166.3500","1097304","1.0000"
"ASML","2018-12-04","175.5900","176.3100","169.3800","169.6400","169.6400","1625345","1.0000"
"ASML","2018-12-03","173.8600","178.2000","173.1300","177.6600","177.6600","2413292","1.0000"
"ASML","2018-11-30","168.9600","171.4500","168.3600","171.3500","171.3500","1360927","1.0000"
"ASML","2018-11-29","172.5300","173.2500","170.9600","171.5200","171.5200","1079747","1.0000"
"ASML","2018-11-28","170.2800","174.4200","167.7500","174.3100","174.3100","613256","1.0000"
"ASML","2018-11-27","166.7300","168.1700","165.6300","167.4100","167.4100","544273","1.0000"
"ASML","2018-11-26","165.1400","167.6600","164.2900","167.4300","167.4300","1056848","1.0000"
"ASML","2018-11-23","162.1200","164.5300","162.1200","163.6600","163.6600","742781","1.0000"
"ASML","2018-11-21","164.3000","166.5000","163.9000","163.9100","163.9100","1074046","1.0000"
"ASML","2018-11-20","157.0400","163.0900","156.5800","161.3300","161.3300","2125550","1.0000"
"ASML","2018-11-19","168.2500","168.5400","163.3900","163.5900","163.5900","1476500","1.0000"
"ASML","2018-11-16","170.0900","171.0400","167.8850","168.9900","168.9900","3096814","1.0000"
"ASML","2018-11-15","169.4600","176.8000","168.9600","176.7900","176.7900","2028751","1.0000"
"ASML","2018-11-14","173.5900","174.5800","172.0300","172.7300","172.7300","1166744","1.0000"
"ASML","2018-11-13","169.8300","173.6900","169.4900","170.8900","170.8900","1433131","1.0000"
"ASML","2018-11-12","170.1300","170.2847","167.0500","169.0000","169.0000","2888225","1.0000"
"ASML","2018-11-09","172.5500","175.8600","171.7500","175.5000","175.5000","1748049","1.0000"
"ASML","2018-11-08","175.3300","177.3600","174.2000","174.9900","174.9900","1891404","1.0000"
"ASML","2018-11-07","178.2600","178.5200","176.0900","177.4200","177.4200","1039424","1.0000"
"ASML","2018-11-06","174.3100","177.6700","174.0500","177.4300","177.4300","1493807","1.0000"
"ASML","2018-11-05","172.4900","173.5000","169.7100","172.8600","172.8600","567371","1.0000"
"ASML","2018-11-02","178.0700","178.6800","172.8200","174.9900","174.9900","948383","1.0000"
"ASML","2018-11-01","171.0300","176.0624","169.6500","175.7200","175.7200","1352798","1.0000"
"ASML","2018-10-31","170.9600","173.0900","169.9800","172.3600","172.3600","731417","1.0000"
"ASML","2018-10-30","166.1000","169.4100","165.6600","168.7400","168.7400","1307510","1.0000"
"ASML","2018-10-29","168.5200","169.7000","160.3800","163.3700","163.3700","745465","1.0000"
"ASML","2018-10-26","164.4000","169.1600","162.2600","166.2100","166.2100","875977","1.0000"
"ASML","2018-10-25","165.1500","170.2900","163.6900","169.0400","169.0400","1067748","1.0000"
"ASML","2018-10-24","167.3000","167.6950","157.9500","158.1600","158.1600","1942808","1.0000"
"ASML","2018-10-23","167.5300","174.4200","167.2600","172.9500","172.9500","1260767","1.0000"
"ASML","2018-10-22","176.4600","177.0200","174.2600","176.3300","176.3300","518606","1.0000"
"ASML","2018-10-19","176.1900","178.2400","173.7100","175.7600","175.7600","740403","1.0000"
"ASML","2018-10-18","182.3800","182.8000","175.8500","176.4400","176.4400","847655","1.0000"
"ASML","2018-10-17","187.5800","189.2500","183.3100","185.0100","185.0100","1709514","1.0000"
"ASML","2018-10-16","178.3800","182.2400","177.7800","181.7200","181.7200","823560","1.0000"
"ASML","2018-10-15","173.4200","175.1200","172.8300","173.3500","173.3500","672583","1.0000"
"ASML","2018-10-12","175.4600","176.3400","171.3500","174.2800","174.2800","906090","1.0000"
"ASML","2018-10-11","176.0900","180.1800","169.5900","171.7800","171.7800","1665255","1.0000"
"ASML","2018-10-10","174.6100","176.5200","171.8500","171.9200","171.9200","1515909","1.0000"
"ASML","2018-10-09","180.6800","183.9600","180.3900","182.9500","182.9500","596040","1.0000"
"ASML","2018-10-08","181.0000","182.8800","179.6900","181.6800","181.6800","603851","1.0000"
"ASML","2018-10-05","185.9000","186.9800","181.5900","183.7900","183.7900","691189","1.0000"
"ASML","2018-10-04","190.9400","191.0800","184.9000","187.4600","187.4600","610391","1.0000"
"ASML","2018-10-03","191.2600","192.3400","189.9400","191.8100","191.8100","826598","1.0000"
"ASML","2018-10-02","188.2700","192.3400","188.2700","190.1600","190.1600","421041","1.0000"
"ASML","2018-10-01","190.8700","192.5200","189.5100","190.0800","190.0800","517779","1.0000"
"ASML","2018-09-28","185.5300","188.2700","185.4600","188.0200","188.0200","609779","1.0000"
"ASML","2018-09-27","188.1100","189.8400","187.7400","188.7400","188.7400","298676","1.0000"
"ASML","2018-09-26","186.8000","191.3000","186.5900","188.8000","188.8000","700978","1.0000"
"ASML","2018-09-25","192.1200","192.3500","189.1600","190.2100","190.2100","515860","1.0000"
"ASML","2018-09-24","190.7600","191.5800","189.4400","191.4700","191.4700","509371","1.0000"
"ASML","2018-09-21","189.4400","190.1000","187.9600","188.4300","188.4300","1116660","1.0000"
"ASML","2018-09-20","191.1900","192.0600","189.8400","191.4900","191.4900","561219","1.0000"
"ASML","2018-09-19","186.6800","189.2800","186.2800","189.0500","189.0500","1053818","1.0000"
"ASML","2018-09-18","184.7100","187.6100","184.7100","186.5700","186.5700","686955","1.0000"
"ASML","2018-09-17","184.0500","185.0400","182.7500","183.0900","183.0900","574955","1.0000"
"ASML","2018-09-14","183.4400","185.0100","182.2700","184.3500","184.3500","1095359","1.0000"
"ASML","2018-09-13","182.3100","184.6300","181.1500","182.0000","182.0000","2444871","1.0000"
"ASML","2018-09-12","177.3800","177.4800","172.6900","175.3700","175.3700","3094681","1.0000"
"ASML","2018-09-11","182.4600","183.8450","181.2800","183.3700","183.3700","610484","1.0000"
"ASML","2018-09-10","187.6300","187.7100","184.5800","185.6700","185.6700","1003799","1.0000"
"ASML","2018-09-07","181.2000","184.4300","180.2800","180.8700","180.8700","889639","1.0000"
"ASML","2018-09-06","191.5600","192.1300","183.4300","184.4500","184.4500","2100300","1.0000"
"ASML","2018-09-05","197.8000","198.1500","194.2000","195.1200","195.1200","633868","1.0000"
"ASML","2018-09-04","199.0500","199.9000","197.3300","199.4800","199.4800","692997","1.0000"
"ASML","2018-08-31","204.3000","205.6600","203.7000","205.0500","205.0500","388412","1.0000"
"ASML","2018-08-30","205.3800","206.8500","204.7300","205.2000","205.2000","352816","1.0000"
