"symbol","date","open","high","low","close","close_adjusted","volume","split_coefficient"
"INTC","2019-08-09","46.9400","47.0000","45.7800","45.9800","45.9800","24409200","1.0000"
"INTC","2019-08-08","46.1600","47.3700","45.9100","47.1700","47.1700","30643700","1.0000"
"INTC","2019-08-07","46.3000","46.8800","45.9700","46.7300","46.7300","29440400","1.0000"
"INTC","2019-08-06","47.1500","47.5600","46.7700","46.9600","46.9600","26119600","1.0000"
"INTC","2019-08-05","47.7600","47.9600","46.5700","46.9700","46.6550","38936600","1.0000"
"INTC","2019-08-02","49.0900","49.3600","48.5000","48.6800","48.3535","27881600","1.0000"
"INTC","2019-08-01","50.5200","51.8900","49.4700","49.5000","49.1680","34020800","1.0000"
"INTC","2019-07-31","51.5100","51.7200","50.0500","50.5500","50.2110","24169800","1.0000"
"INTC","2019-07-30","51.7100","52.3100","51.5600","51.7000","51.3533","16487700","1.0000"
"INTC","2019-07-29","51.5300","52.5600","50.7800","52.5100","52.1578","21897500","1.0000"
"INTC","2019-07-26","52.6900","53.5000","51.5300","51.5900","51.5900","36380031","1.0000"
"INTC","2019-07-25","52.5100","52.6000","51.8800","52.1600","52.1600","27765432","1.0000"
"INTC","2019-07-24","51.9800","52.9700","51.8000","52.9200","52.9200","20896369","1.0000"
"INTC","2019-07-23","52.0000","52.0000","51.3000","51.7500","51.7500","18413520","1.0000"
"INTC","2019-07-22","50.0050","51.5150","49.8900","51.3500","51.3500","21686529","1.0000"
"INTC","2019-07-19","49.9600","50.6600","49.9100","50.2700","50.2700","29141087","1.0000"
"INTC","2019-07-18","49.2800","49.9900","48.8900","49.9400","49.9400","15679636","1.0000"
"INTC","2019-07-17","49.5000","49.7000","49.2400","49.3900","49.3900","11928605","1.0000"
"INTC","2019-07-16","49.9100","50.0000","48.9600","49.1700","49.1700","17131368","1.0000"
"INTC","2019-07-15","50.0000","50.2500","49.7693","50.1200","50.1200","14345082","1.0000"
"INTC","2019-07-12","49.0000","49.9300","48.8100","49.9200","49.9200","20148730","1.0000"
"INTC","2019-07-11","48.5600","48.7800","48.3100","48.6000","48.6000","16615082","1.0000"
"INTC","2019-07-10","47.9200","48.6100","47.9000","48.2100","48.2100","16032269","1.0000"
"INTC","2019-07-09","47.3600","47.8000","47.1300","47.7500","47.7500","17853185","1.0000"
