"symbol","date","open","high","low","close","close_adjusted","volume","split_coefficient"
"NVDA","2019-08-05","153.8000","153.8500","148.9000","150.7900","150.7900","14231332","1.0000"
"NVDA","2019-08-02","161.1900","163.9800","159.2800","161.1900","161.1900","10708732","1.0000"
"NVDA","2019-08-01","169.1400","172.7800","162.8204","164.9200","164.9200","10530314","1.0000"
"NVDA","2019-07-31","174.1800","174.2150","167.0200","168.7200","168.7200","8985391","1.0000"
"NVDA","2019-07-30","172.9500","175.9400","172.3700","175.4500","175.4500","4944261","1.0000"
"NVDA","2019-07-29","174.7800","175.4697","171.2700","174.8200","174.8200","6204049","1.0000"
"NVDA","2019-07-26","174.4700","176.9500","174.4700","175.0700","175.0700","6853997","1.0000"
"NVDA","2019-07-25","176.9900","177.5000","172.4400","173.3800","173.3800","9817453","1.0000"
"NVDA","2019-07-24","177.4000","178.8900","174.3400","178.6600","178.6600","9155937","1.0000"
"NVDA","2019-07-23","172.9000","175.7400","172.2700","175.6600","175.6600","10651522","1.0000"
"NVDA","2019-07-22","169.3000","171.8400","169.0000","171.3200","171.3200","7898498","1.0000"
"NVDA","2019-07-19","171.7200","171.9800","168.2000","168.4400","168.4400","8622395","1.0000"
"NVDA","2019-07-18","170.1250","172.7100","167.8500","170.1800","170.1800","11079474","1.0000"
"NVDA","2019-07-17","167.1500","169.9900","165.9740","169.7100","169.7100","8705107","1.0000"
"NVDA","2019-07-16","166.6700","168.1700","164.8425","167.0800","167.0800","8536098","1.0000"
"NVDA","2019-07-15","168.4600","169.1058","166.1300","167.2700","167.2700","7245993","1.0000"
"NVDA","2019-07-12","167.4000","170.4700","167.4000","167.6100","167.6100","12659816","1.0000"
"NVDA","2019-07-11","163.0000","167.9200","161.5000","166.2800","166.2800","17063964","1.0000"
"NVDA","2019-07-10","159.0600","162.3689","158.5000","160.0600","160.0600","11282925","1.0000"
"NVDA","2019-07-09","155.5100","158.4400","155.0000","157.3100","157.3100","8571512","1.0000"
"NVDA","2019-07-08","157.8300","158.5900","156.0000","157.2100","157.2100","8244669","1.0000"
"NVDA","2019-07-05","160.4000","160.5800","157.6800","160.2300","160.2300","9913847","1.0000"
"NVDA","2019-07-03","163.1700","163.4000","160.3415","162.7500","162.7500","6165856","1.0000"
"NVDA","2019-07-02","165.5000","166.3493","161.7000","162.2300","162.2300","10005688","1.0000"
"NVDA","2019-07-01","172.5700","173.9500","164.6600","166.1700","166.1700","17788327","1.0000"
"NVDA","2019-06-28","165.0000","165.3700","162.3500","164.2300","164.2300","9941659","1.0000"
"NVDA","2019-06-27","162.7100","164.0000","161.2600","163.2300","163.2300","11136038","1.0000"
