"symbol","date","open","high","low","close","close_adjusted","volume","split_coefficient"
"TSM","2019-08-02","41.1500","41.7750","41.0050","41.6500","41.6500","9316772","1.0000"
"TSM","2019-08-01","42.7500","43.3900","41.6000","41.8700","41.8700","9662848","1.0000"
"TSM","2019-07-31","43.0300","43.1700","42.0500","42.6300","42.6300","7592285","1.0000"
"TSM","2019-07-30","43.4000","43.4000","42.7650","43.1100","43.1100","4938490","1.0000"
"TSM","2019-07-29","43.5200","43.9500","43.4000","43.9400","43.9400","4138649","1.0000"
"TSM","2019-07-26","43.7300","43.8900","43.3800","43.4600","43.4600","4398967","1.0000"
"TSM","2019-07-25","44.2100","44.2400","43.6200","43.6200","43.6200","6594076","1.0000"
"TSM","2019-07-24","44.5000","44.6300","44.2400","44.5400","44.5400","7130494","1.0000"
"TSM","2019-07-23","44.5400","44.5800","44.2350","44.4200","44.4200","6565784","1.0000"
"TSM","2019-07-22","44.2000","44.8800","44.1300","44.6000","44.6000","10035911","1.0000"
"TSM","2019-07-19","43.0800","44.0200","43.0700","43.8300","43.8300","11438826","1.0000"
"TSM","2019-07-18","42.5200","43.2300","42.3100","43.1900","43.1900","11262042","1.0000"
"TSM","2019-07-17","41.6800","41.9100","41.5200","41.6300","41.6300","5514566","1.0000"
"TSM","2019-07-16","41.8000","41.9500","41.5700","41.7700","41.7700","6529518","1.0000"
"TSM","2019-07-15","41.7500","41.9300","41.6600","41.8200","41.8200","5784301","1.0000"
"TSM","2019-07-12","41.1100","41.2700","40.8200","41.2300","41.2300","4695815","1.0000"
"TSM","2019-07-11","41.1400","41.1850","40.8300","40.9000","40.9000","6126560","1.0000"
"TSM","2019-07-10","40.8300","41.1400","40.5450","40.7100","40.7100","7944982","1.0000"
"TSM","2019-07-09","39.6500","40.0100","39.4200","39.6700","39.6700","6576968","1.0000"
"TSM","2019-07-08","39.5700","39.6900","39.2450","39.3200","39.3200","6772262","1.0000"
"TSM","2019-07-05","39.8650","40.1000","39.6350","39.9300","39.9300","3149470","1.0000"
"TSM","2019-07-03","40.3500","40.3700","40.0100","40.3300","40.3300","3125012","1.0000"
"TSM","2019-07-02","41.1900","41.3100","40.7400","40.8000","40.8000","4446016","1.0000"
"TSM","2019-07-01","41.5400","41.9000","41.1500","41.3800","41.3800","11085423","1.0000"
"TSM","2019-06-28","39.7300","39.7300","39.1200","39.1700","39.1700","7039976","1.0000"
"TSM","2019-06-27","39.5800","39.7600","39.2900","39.5900","39.5900","11375159","1.0000"
"TSM","2019-06-26","39.3800","39.3800","38.9800","39.0800","39.0800","9133326","1.0000"
"TSM","2019-06-25","39.5200","39.5200","38.9100","38.9200","38.9200","6790520","1.0000"
"TSM","2019-06-24","39.5600","40.0700","39.4350","39.9800","39.9800","7061012","1.0000"
"TSM","2019-06-21","40.5200","40.6950","40.4200","40.5200","39.2671","12766296","1.0000"
"TSM","2019-06-20","40.4500","40.7200","40.1350","40.5100","39.2574","10400416","1.0000"
"TSM","2019-06-19","39.9400","39.9600","39.3000","39.4000","38.1817","10217607","1.0000"
"TSM","2019-06-18","38.2700","39.4150","38.2200","39.2100","37.9976","12303214","1.0000"
"TSM","2019-06-17","37.9200","38.0500","37.6600","37.6600","36.4955","6500741","1.0000"
"TSM","2019-06-14","38.6300","38.7000","37.8300","37.8400","36.6700","11281546","1.0000"
"TSM","2019-06-13","39.6200","39.6200","39.0350","39.4500","38.2302","6646766","1.0000"
"TSM","2019-06-12","40.0000","40.1900","39.4500","39.4600","38.2399","6163222","1.0000"
"TSM","2019-06-11","40.4700","40.6000","39.9400","39.9600","39.9600","6100603","1.0000"
"TSM","2019-06-10","39.4900","40.1266","39.4500","39.6200","39.6200","8351793","1.0000"
"TSM","2019-06-07","38.7400","39.0000","38.5600","38.8200","38.8200","4457237","1.0000"
"TSM","2019-06-06","38.1800","38.5900","37.9150","38.4400","38.4400","6233956","1.0000"
"TSM","2019-06-05","39.2400","39.2600","38.1000","38.2300","38.2300","8220145","1.0000"
"TSM","2019-06-04","38.6400","39.1000","38.4200","39.0600","39.0600","6985615","1.0000"
"TSM","2019-06-03","38.9600","39.0900","38.6600","38.8200","38.8200","9618285","1.0000"
"TSM","2019-05-31","38.2700","38.9700","38.2497","38.3500","38.3500","9302893","1.0000"
"TSM","2019-05-30","37.9500","38.3687","37.8400","38.0400","38.0400","7351714","1.0000"
"TSM","2019-05-29","37.4600","37.7500","37.1800","37.6900","37.6900","13040264","1.0000"
"TSM","2019-05-28","38.1300","38.2000","37.6500","37.6500","37.6500","12484718","1.0000"
"TSM","2019-05-24","38.4200","38.7400","38.1900","38.2000","38.2000","10540670","1.0000"
"TSM","2019-05-23","37.9800","38.1800","37.4100","38.0700","38.0700","14709113","1.0000"
"TSM","2019-05-22","39.2000","39.3900","38.8850","38.9000","38.9000","12217584","1.0000"
"TSM","2019-05-21","39.1500","39.3400","38.6600","39.3000","39.3000","11806402","1.0000"
"TSM","2019-05-20","39.2500","39.3000","38.5200","38.6600","38.6600","13979652","1.0000"
"TSM","2019-05-17","40.3900","40.9500","40.0900","40.2500","40.2500","11270975","1.0000"
"TSM","2019-05-16","41.6300","41.6400","41.2200","41.5300","41.5300","9213583","1.0000"
"TSM","2019-05-15","41.5500","42.3300","41.4600","41.9700","41.9700","5347893","1.0000"
"TSM","2019-05-14","41.5900","42.0800","41.4000","41.9700","41.9700","7107844","1.0000"
"TSM","2019-05-13","41.3700","41.5100","40.7350","40.9900","40.9900","11046001","1.0000"
"TSM","2019-05-10","42.8600","43.0900","42.1900","42.8300","42.8300","8314005","1.0000"
"TSM","2019-05-09","42.9200","43.2950","42.2800","43.2500","43.2500","11229555","1.0000"
"TSM","2019-05-08","43.5200","44.0000","43.4600","43.7000","43.7000","8112550","1.0000"
"TSM","2019-05-07","43.8300","44.0500","43.2900","43.7600","43.7600","10225163","1.0000"
"TSM","2019-05-06","43.3200","43.8200","43.2100","43.7600","43.7600","10756392","1.0000"
"TSM","2019-05-03","44.9300","45.1400","44.5601","44.7100","44.7100","5479910","1.0000"
"TSM","2019-05-02","43.8600","44.4650","43.7500","44.4000","44.4000","10717293","1.0000"
"TSM","2019-05-01","44.2900","44.5550","43.8200","43.8200","43.8200","7319021","1.0000"
"TSM","2019-04-30","43.4000","43.9400","43.2550","43.8200","43.8200","11863889","1.0000"
"TSM","2019-04-29","43.8500","43.9200","43.5750","43.8300","43.8300","9272099","1.0000"
"TSM","2019-04-26","43.6500","44.0000","43.3200","43.9400","43.9400","12745003","1.0000"
"TSM","2019-04-25","44.9300","45.0400","44.4300","44.4800","44.4800","10149965","1.0000"
"TSM","2019-04-24","45.0800","45.5900","44.9400","45.4100","45.4100","10777150","1.0000"
"TSM","2019-04-23","45.1500","45.4200","45.0600","45.4200","45.4200","11437537","1.0000"
"TSM","2019-04-22","44.7900","45.1600","44.5900","45.1500","45.1500","10872419","1.0000"
"TSM","2019-04-18","44.0600","45.6400","44.0000","45.4000","45.4000","16569844","1.0000"
"TSM","2019-04-17","43.9000","44.4600","43.8600","44.3900","44.3900","15795715","1.0000"
"TSM","2019-04-16","42.8300","43.0800","42.7500","43.0100","43.0100","6639295","1.0000"
"TSM","2019-04-15","42.5800","42.7700","42.4600","42.6100","42.6100","5274352","1.0000"
"TSM","2019-04-12","42.4700","42.6500","42.2800","42.5800","42.5800","6555695","1.0000"
"TSM","2019-04-11","42.0900","42.2000","41.9450","42.1000","42.1000","5172154","1.0000"
"TSM","2019-04-10","42.2600","42.5000","42.1800","42.3700","42.3700","4040323","1.0000"
"TSM","2019-04-09","42.2400","42.3000","42.0250","42.2100","42.2100","5049921","1.0000"
"TSM","2019-04-08","42.2400","42.4850","42.0800","42.3900","42.3900","6830320","1.0000"
"TSM","2019-04-05","42.3400","42.3400","42.0550","42.2300","42.2300","4430552","1.0000"
"TSM","2019-04-04","41.7300","42.1800","41.6500","42.0400","42.0400","7610282","1.0000"
"TSM","2019-04-03","41.6000","41.9600","41.5100","41.7900","41.7900","6821111","1.0000"
"TSM","2019-04-02","41.1800","41.3600","41.0000","41.2700","41.2700","5580175","1.0000"
"TSM","2019-04-01","41.0750","41.3700","40.7450","41.3700","41.3700","6834247","1.0000"
"TSM","2019-03-29","40.8200","41.0450","40.5950","40.9600","40.9600","6116275","1.0000"
"TSM","2019-03-28","40.2400","40.5400","40.2000","40.3400","40.3400","6632731","1.0000"
"TSM","2019-03-27","40.1900","40.2600","39.8000","40.2000","40.2000","7660259","1.0000"
"TSM","2019-03-26","40.1100","40.6300","40.0700","40.4000","40.4000","5573519","1.0000"
"TSM","2019-03-25","40.0000","40.4600","39.7700","39.9200","39.9200","4901898","1.0000"
"TSM","2019-03-22","40.8400","41.0188","40.3400","40.4300","40.4300","6759220","1.0000"
"TSM","2019-03-21","40.2500","41.2400","40.2200","41.0400","41.0400","6509703","1.0000"
"TSM","2019-03-20","39.7700","40.1500","39.6400","39.8500","39.8500","5394019","1.0000"
"TSM","2019-03-19","39.9800","40.0800","39.6000","39.7600","39.7600","8033561","1.0000"
"TSM","2019-03-18","39.8600","39.9800","39.6400","39.8500","39.8500","6290868","1.0000"
"TSM","2019-03-15","39.4100","40.0700","39.4100","39.6500","39.6500","8871307","1.0000"
"TSM","2019-03-14","39.0000","39.0500","38.7350","38.8200","38.8200","4935032","1.0000"
"TSM","2019-03-13","39.2200","39.4350","39.0200","39.2100","39.2100","6086456","1.0000"
"TSM","2019-03-12","39.0500","39.1700","38.8600","38.9000","38.9000","5580175","1.0000"
"TSM","2019-03-11","38.2300","38.6900","38.2000","38.6400","38.6400","6005422","1.0000"
"TSM","2019-03-08","37.9500","38.3800","37.9400","38.2000","38.2000","5066169","1.0000"
"TSM","2019-03-07","38.7700","38.8800","38.3700","38.6300","38.6300","4231307","1.0000"
"TSM","2019-03-06","39.0600","39.2200","38.7800","38.7900","38.7900","4433407","1.0000"
"TSM","2019-03-05","38.9500","39.2300","38.6600","39.0200","39.0200","7192605","1.0000"
"TSM","2019-03-04","39.3300","39.3300","38.7100","39.1500","39.1500","7081092","1.0000"
"TSM","2019-03-01","39.3600","39.5200","39.1950","39.3900","39.3900","5299224","1.0000"
"TSM","2019-02-28","39.1200","39.2900","39.0000","39.0500","39.0500","5705056","1.0000"
"TSM","2019-02-27","39.5100","39.5600","39.0600","39.4500","39.4500","8194917","1.0000"
"TSM","2019-02-26","39.4100","39.6650","39.3800","39.6000","39.6000","5587317","1.0000"
"TSM","2019-02-25","39.8700","39.9150","39.4750","39.5800","39.5800","5101495","1.0000"
"TSM","2019-02-22","39.1200","39.4100","39.0800","39.3900","39.3900","5117948","1.0000"
"TSM","2019-02-21","39.0700","39.1800","38.8000","38.9800","38.9800","4607292","1.0000"
"TSM","2019-02-20","38.9300","39.5100","38.8900","39.0000","39.0000","7178581","1.0000"
"TSM","2019-02-19","38.2200","38.6600","38.1050","38.4600","38.4600","8105692","1.0000"
"TSM","2019-02-15","37.9100","38.2800","37.8700","38.0900","38.0900","6257553","1.0000"
"TSM","2019-02-14","37.9200","38.2100","37.7600","38.0600","38.0600","7782795","1.0000"
"TSM","2019-02-13","38.3700","38.4800","38.0500","38.1300","38.1300","7155553","1.0000"
"TSM","2019-02-12","38.6400","38.7650","38.4350","38.6400","38.6400","8831206","1.0000"
"TSM","2019-02-11","37.9200","38.2900","37.8300","38.2900","38.2900","8860663","1.0000"
"TSM","2019-02-08","37.7100","37.9200","37.5000","37.7900","37.7900","7147158","1.0000"
"TSM","2019-02-07","38.3700","38.4600","37.8250","38.1200","38.1200","7916235","1.0000"
"TSM","2019-02-06","38.4200","38.8200","38.3100","38.7400","38.7400","8795506","1.0000"
"TSM","2019-02-05","37.9200","38.2700","37.8800","38.2500","38.2500","7314024","1.0000"
"TSM","2019-02-04","37.5000","38.0100","37.3800","37.9400","37.9400","7283766","1.0000"
"TSM","2019-02-01","37.7500","37.8700","37.4400","37.5700","37.5700","6438407","1.0000"
"TSM","2019-01-31","37.3100","38.1000","37.3100","37.6200","37.6200","7633398","1.0000"
"TSM","2019-01-30","36.8100","37.4500","36.2900","37.3800","37.3800","9281569","1.0000"
"TSM","2019-01-29","37.2900","37.2900","36.3000","36.3300","36.3300","10101047","1.0000"
"TSM","2019-01-28","36.9200","37.6600","36.9000","37.4400","37.4400","14086534","1.0000"
"TSM","2019-01-25","38.0000","38.2600","37.8800","38.1400","38.1400","16763721","1.0000"
"TSM","2019-01-24","36.8800","37.6400","36.7800","37.6400","37.6400","14094127","1.0000"
"TSM","2019-01-23","36.5300","36.7350","36.2400","36.4900","36.4900","13918777","1.0000"
"TSM","2019-01-22","36.5000","36.7600","36.1000","36.3700","36.3700","13381677","1.0000"
"TSM","2019-01-18","36.2400","37.0100","36.1600","36.8400","36.8400","12905926","1.0000"
"TSM","2019-01-17","34.9200","36.5500","34.8300","36.2900","36.2900","21917216","1.0000"
"TSM","2019-01-16","35.9000","36.0300","35.6400","35.6400","35.6400","8727353","1.0000"
"TSM","2019-01-15","36.0400","36.2300","35.8000","36.0400","36.0400","10165839","1.0000"
"TSM","2019-01-14","36.1300","36.1900","35.7200","35.7600","35.7600","6146255","1.0000"
"TSM","2019-01-11","36.4500","36.7700","36.2350","36.6100","36.6100","7232991","1.0000"
"TSM","2019-01-10","35.4600","36.4800","35.4000","36.4200","36.4200","7894616","1.0000"
"TSM","2019-01-09","35.3300","35.9600","35.3300","35.6100","35.6100","11770519","1.0000"
"TSM","2019-01-08","35.1100","35.1800","34.6400","34.9400","34.9400","11462595","1.0000"
"TSM","2019-01-07","35.0100","35.4700","34.9700","35.2300","35.2300","6850767","1.0000"
"TSM","2019-01-04","34.4600","35.0350","34.2145","34.9700","34.9700","14178232","1.0000"
"TSM","2019-01-03","35.3400","35.5200","34.2710","34.3600","34.3600","15998006","1.0000"
"TSM","2019-01-02","36.2000","36.7500","36.0000","36.5200","36.5200","5273146","1.0000"
"TSM","2018-12-31","37.4300","37.5850","36.7700","36.9100","36.9100","4600602","1.0000"
"TSM","2018-12-28","37.1300","37.6800","37.0200","37.1400","37.1400","7368997","1.0000"
"TSM","2018-12-27","36.2000","36.8000","35.9550","36.7800","36.7800","8688645","1.0000"
"TSM","2018-12-26","35.3300","36.7700","35.3300","36.7600","36.7600","10063418","1.0000"
"TSM","2018-12-24","35.5600","35.8900","35.2700","35.2900","35.2900","6288545","1.0000"
"TSM","2018-12-21","36.6400","36.9300","35.6500","35.7100","35.7100","16981253","1.0000"
"TSM","2018-12-20","36.4100","36.7456","35.5400","35.8800","35.8800","12540408","1.0000"
"TSM","2018-12-19","36.6200","37.2750","36.1000","36.2300","36.2300","11786466","1.0000"
"TSM","2018-12-18","36.6100","37.0000","36.6100","36.7600","36.7600","7100418","1.0000"
"TSM","2018-12-17","36.6300","36.9400","36.1150","36.2200","36.2200","10733264","1.0000"
"TSM","2018-12-14","36.8000","37.1100","36.5300","36.5300","36.5300","5969705","1.0000"
"TSM","2018-12-13","37.4900","37.6600","37.1900","37.3300","37.3300","5825943","1.0000"
"TSM","2018-12-12","37.6100","37.7000","37.2700","37.3800","37.3800","8405361","1.0000"
"TSM","2018-12-11","37.2400","37.3500","36.3003","36.7000","36.7000","8635840","1.0000"
