,symbol,date,open,high,low,close,close_adjusted,volume,split_coefficient,dividend,ex_dividend_date,eps_est,eps,earnings_date,Next Open,Next Close,Prev Open,Prev Close,Quarter
0,NVDA,2019-08-05,153.8,153.85,148.9,150.79,150.79,14231332,1.0,,False,,,False,,,161.19,161.19,3
1,NVDA,2019-08-02,161.19,163.98,159.28,161.19,161.19,10708732,1.0,,False,,,False,153.8,150.79,169.14,164.92,3
2,NVDA,2019-08-01,169.14,172.78,162.8204,164.92,164.92,10530314,1.0,,False,,,False,161.19,161.19,174.18,168.72,3
3,NVDA,2019-07-31,174.18,174.215,167.02,168.72,168.72,8985391,1.0,,False,,,False,169.14,164.92,172.95,175.45,3
4,NVDA,2019-07-30,172.95,175.94,172.37,175.45,175.45,4944261,1.0,,False,,,False,174.18,168.72,174.78,174.82,3
5,NVDA,2019-07-29,174.78,175.4697,171.27,174.82,174.82,6204049,1.0,,False,,,False,172.95,175.45,174.47,175.07,3
6,NVDA,2019-07-26,174.47,176.95,174.47,175.07,175.07,6853997,1.0,,False,,,False,174.78,174.82,176.99,173.38,3
7,NVDA,2019-07-25,176.99,177.5,172.44,173.38,173.38,9817453,1.0,,False,,,False,174.47,175.07,177.4,178.66,3
8,NVDA,2019-07-24,177.4,178.89,174.34,178.66,178.66,9155937,1.0,,False,,,False,176.99,173.38,172.9,175.66,3
9,NVDA,2019-07-23,172.9,175.74,172.27,175.66,175.66,10651522,1.0,,False,,,False,177.4,178.66,169.3,171.32,3
10,NVDA,2019-07-22,169.3,171.84,169.0,171.32,171.32,7898498,1.0,,False,,,False,172.9,175.66,171.72,168.44,3
11,NVDA,2019-07-19,171.72,171.98,168.2,168.44,168.44,8622395,1.0,,False,,,False,169.3,171.32,170.125,170.18,3
12,NVDA,2019-07-18,170.125,172.71,167.85,170.18,170.18,11079474,1.0,,False,,,False,171.72,168.44,167.15,169.71,3
13,NVDA,2019-07-17,167.15,169.99,165.974,169.71,169.71,8705107,1.0,,False,,,False,170.125,170.18,166.67,167.08,3
14,NVDA,2019-07-16,166.67,168.17,164.8425,167.08,167.08,8536098,1.0,,False,,,False,167.15,169.71,168.46,167.27,3
15,NVDA,2019-07-15,168.46,169.1058,166.13,167.27,167.27,7245993,1.0,,False,,,False,166.67,167.08,167.4,167.61,3
16,NVDA,2019-07-12,167.4,170.47,167.4,167.61,167.61,12659816,1.0,,False,,,False,168.46,167.27,163.0,166.28,3
