,symbol,date,open,high,low,close,close_adjusted,volume,split_coefficient,dividend,ex_dividend_date,eps_est,eps,earnings_date,Next Open,Next Close,Prev Open,Prev Close,Quarter
0,TSM,2019-08-02,41.15,41.775,41.005,41.65,41.65,9316772,1.0,,False,,,False,,,42.75,41.87,3
1,TSM,2019-08-01,42.75,43.39,41.6,41.87,41.87,9662848,1.0,,False,,,False,41.15,41.65,43.03,42.63,3
2,TSM,2019-07-31,43.03,43.17,42.05,42.63,42.63,7592285,1.0,,False,,,False,42.75,41.87,43.4,43.11,3
3,TSM,2019-07-30,43.4,43.4,42.765,43.11,43.11,4938490,1.0,,False,,,False,43.03,42.63,43.52,43.94,3
4,TSM,2019-07-29,43.52,43.95,43.4,43.94,43.94,4138649,1.0,,False,,,False,43.4,43.11,43.73,43.46,3
5,TSM,2019-07-26,43.73,43.89,43.38,43.46,43.46,4398967,1.0,,False,,,False,43.52,43.94,44.21,43.62,3
6,TSM,2019-07-25,44.21,44.24,43.62,43.62,43.62,6594076,1.0,,False,0.413,0.41,True,43.73,43.46,44.5,44.54,3
7,TSM,2019-07-24,44.5,44.63,44.24,44.54,44.54,7130494,1.0,,False,,,False,44.21,43.62,44.54,44.42,3
8,TSM,2019-07-23,44.54,44.58,44.235,44.42,44.42,6565784,1.0,,False,,,False,44.5,44.54,44.2,44.6,3
9,TSM,2019-07-22,44.2,44.88,44.13,44.6,44.6,10035911,1.0,,False,,,False,44.54,44.42,43.08,43.83,3
10,TSM,2019-07-19,43.08,44.02,43.07,43.83,43.83,11438826,1.0,,False,,,False,44.2,44.6,42.52,43.19,3
11,TSM,2019-07-18,42.52,43.23,42.31,43.19,43.19,11262042,1.0,,False,,,False,43.08,43.83,41.68,41.63,3
12,TSM,2019-07-17,41.68,41.91,41.52,41.63,41.63,5514566,1.0,,False,,,False,42.52,43.19,41.8,41.77,3
13,TSM,2019-07-16,41.8,41.95,41.57,41.77,41.77,6529518,1.0,,False,,,False,41.68,41.63,41.75,41.82,3
14,TSM,2019-07-15,41.75,41.93,41.66,41.82,41.82,5784301,1.0,,False,,,False,41.8,41.77,41.11,41.23,3
15,TSM,2019-07-12,41.11,41.27,40.82,41.23,41.23,4695815,1.0,,False,,,False,41.75,41.82,41.14,40.9,3
16,TSM,2019-07-11,41.14,41.185,40.83,40.9,40.9,6126560,1.0,,False,,,False,41.11,41.23,40.83,40.71,3
17,TSM,2019-07-10,40.83,41.14,40.545,40.71,40.71,7944982,1.0,,False,,,False,41.14,40.9,39.65,39.67,3
18,TSM,2019-07-09,39.65,40.01,39.42,39.67,39.67,6576968,1.0,,False,,,False,40.83,40.71,39.57,39.32,3
19,TSM,2019-07-08,39.57,39.69,39.245,39.32,39.32,6772262,1.0,,False,,,False,39.65,39.67,39.865,39.93,3
20,TSM,2019-07-05,39.865,40.1,39.635,39.93,39.93,3149470,1.0,,False,,,False,39.57,39.32,40.35,40.33,3
21,TSM,2019-07-03,40.35,40.37,40.01,40.33,40.33,3125012,1.0,,False,,,False,39.865,39.93,41.19,40.8,3
22,TSM,2019-07-02,41.19,41.31,40.74,40.8,40.8,4446016,1.0,,False,,,False,40.35,40.33,41.54,41.38,3
23,TSM,2019-07-01,41.54,41.9,41.15,41.38,41.38,11085423,1.0,,False,,,False,41.19,40.8,39.73,39.17,3
24,TSM,2019-06-28,39.73,39.73,39.12,39.17,39.17,7039976,1.0,,False,,,False,41.54,41.38,39.58,39.59,2
25,TSM,2019-06-27,39.58,39.76,39.29,39.59,39.59,11375159,1.0,,False,,,False,39.73,39.17,39.38,39.08,2
26,TSM,2019-06-26,39.38,39.38,38.98,39.08,39.08,9133326,1.0,,False,,,False,39.58,39.59,39.52,38.92,2
27,TSM,2019-06-25,39.52,39.52,38.91,38.92,38.92,6790520,1.0,,False,,,False,39.38,39.08,39.56,39.98,2
28,TSM,2019-06-24,39.56,40.07,39.435,39.98,39.98,7061012,1.0,1.2756,True,,,False,39.52,38.92,40.52,40.52,2
29,TSM,2019-06-21,40.52,40.695,40.42,40.52,39.2671,12766296,1.0,,False,,,False,39.56,39.98,40.45,40.51,2
30,TSM,2019-06-20,40.45,40.72,40.135,40.51,39.2574,10400416,1.0,,False,,,False,40.52,40.52,39.94,39.4,2
31,TSM,2019-06-19,39.94,39.96,39.3,39.4,38.1817,10217607,1.0,,False,,,False,40.45,40.51,38.27,39.21,2
32,TSM,2019-06-18,38.27,39.415,38.22,39.21,37.9976,12303214,1.0,,False,,,False,39.94,39.4,37.92,37.66,2
33,TSM,2019-06-17,37.92,38.05,37.66,37.66,36.4955,6500741,1.0,,False,,,False,38.27,39.21,38.63,37.84,2
34,TSM,2019-06-14,38.63,38.7,37.83,37.84,36.67,11281546,1.0,,False,,,False,37.92,37.66,39.62,39.45,2
35,TSM,2019-06-13,39.62,39.62,39.035,39.45,38.2302,6646766,1.0,,False,,,False,38.63,37.84,40.0,39.46,2
36,TSM,2019-06-12,40.0,40.19,39.45,39.46,38.2399,6163222,1.0,,False,,,False,39.62,39.45,40.47,39.96,2
37,TSM,2019-06-11,40.47,40.6,39.94,39.96,39.96,6100603,1.0,,False,,,False,40.0,39.46,39.49,39.62,2
38,TSM,2019-06-10,39.49,40.1266,39.45,39.62,39.62,8351793,1.0,,False,,,False,40.47,39.96,38.74,38.82,2
39,TSM,2019-06-07,38.74,39.0,38.56,38.82,38.82,4457237,1.0,,False,,,False,39.49,39.62,38.18,38.44,2
40,TSM,2019-06-06,38.18,38.59,37.915,38.44,38.44,6233956,1.0,,False,,,False,38.74,38.82,39.24,38.23,2
41,TSM,2019-06-05,39.24,39.26,38.1,38.23,38.23,8220145,1.0,,False,,,False,38.18,38.44,38.64,39.06,2
42,TSM,2019-06-04,38.64,39.1,38.42,39.06,39.06,6985615,1.0,,False,,,False,39.24,38.23,38.96,38.82,2
43,TSM,2019-06-03,38.96,39.09,38.66,38.82,38.82,9618285,1.0,,False,,,False,38.64,39.06,38.27,38.35,2
44,TSM,2019-05-31,38.27,38.97,38.2497,38.35,38.35,9302893,1.0,,False,,,False,38.96,38.82,37.95,38.04,2
45,TSM,2019-05-30,37.95,38.3687,37.84,38.04,38.04,7351714,1.0,,False,,,False,38.27,38.35,37.46,37.69,2
46,TSM,2019-05-29,37.46,37.75,37.18,37.69,37.69,13040264,1.0,,False,,,False,37.95,38.04,38.13,37.65,2
